"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Direction","Threshold"
"Metabolism of xenobiotics by cytochrome P450","1/76",0.355375010716481,0.591701650821997,0,0,2.31695906432749,2.39708339861153,"ADH5","KEGG_2021_Human","Negative","p < 0.05"
"Pancreatic cancer","1/76",0.355375010716481,0.591701650821997,0,0,2.31695906432749,2.39708339861153,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Arrhythmogenic right ventricular cardiomyopathy","1/77",0.359095736815668,0.591701650821997,0,0,2.28635734072022,2.34161002307129,"ITGB5","KEGG_2021_Human","Negative","p < 0.05"
"Bacterial invasion of epithelial cells","1/77",0.359095736815668,0.591701650821997,0,0,2.28635734072022,2.34161002307129,"CAV3","KEGG_2021_Human","Negative","p < 0.05"
"Antigen processing and presentation","1/78",0.362795172766772,0.591701650821997,0,0,2.25655046707678,2.28795457827975,"CALR","KEGG_2021_Human","Negative","p < 0.05"
"ECM-receptor interaction","1/88",0.39864481057131,0.642060185045518,0,0,1.99616858237548,1.8358452200084,"ITGB5","KEGG_2021_Human","Negative","p < 0.05"
"Hypertrophic cardiomyopathy","1/90",0.405571060327845,0.642060185045518,0,0,1.95111373940469,1.76080050442747,"ITGB5","KEGG_2021_Human","Negative","p < 0.05"
"Morphine addiction","1/91",0.409004470654436,0.642060185045518,0,0,1.92933723196881,1.7248838071784,"GRK5","KEGG_2021_Human","Negative","p < 0.05"
"Th1 and Th2 cell differentiation","1/92",0.412418221051136,0.642060185045518,0,0,1.90803932909196,1.68998352845021,"IL2RA","KEGG_2021_Human","Negative","p < 0.05"
"Dilated cardiomyopathy","1/96",0.425878846004127,0.653331625392079,0,0,1.82733148661127,1.55981083712826,"ITGB5","KEGG_2021_Human","Negative","p < 0.05"
"Prostate cancer","1/97",0.429195958286767,0.653331625392079,0,0,1.80820540935673,1.52945551049838,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Progesterone-mediated oocyte maturation","1/100",0.439033727758999,0.656272237996886,0,0,1.7531454899876,1.44315262186649,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Amoebiasis","1/102",0.445498672508835,0.656272237996886,0,0,1.71825603612993,1.38931483919722,"CD1D","KEGG_2021_Human","Negative","p < 0.05"
"Chagas disease","1/102",0.445498672508835,0.656272237996886,0,0,1.71825603612993,1.38931483919722,"CALR","KEGG_2021_Human","Negative","p < 0.05"
"Th17 cell differentiation","1/107",0.461339698299519,0.662814060216076,0,0,1.63679245283019,1.26625641619103,"IL2RA","KEGG_2021_Human","Negative","p < 0.05"
"Drug metabolism","1/108",0.464453648034622,0.662814060216076,0,0,1.62141334645024,1.24345137996517,"ADH5","KEGG_2021_Human","Negative","p < 0.05"
"Ribosome biogenesis in eukaryotes","1/108",0.464453648034622,0.662814060216076,0,0,1.62141334645024,1.24345137996517,"UTP6","KEGG_2021_Human","Negative","p < 0.05"
"Serotonergic synapse","1/113",0.479757727373303,0.677595965465387,0,0,1.54863721804511,1.13743382960372,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"MAPK signaling pathway","2/294",0.506004147147422,0.7073731444816,0,0,1.18759849678749,0.809004463406736,"MEF2C;BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Oocyte meiosis","1/129",0.525876225657175,0.72045042915033,0,0,1.3539610745614,0.870176439262795,"PTTG1","KEGG_2021_Human","Negative","p < 0.05"
"Purine metabolism","1/129",0.525876225657175,0.72045042915033,0,0,1.3539610745614,0.870176439262795,"NT5C2","KEGG_2021_Human","Negative","p < 0.05"
"FoxO signaling pathway","1/131",0.531348289012283,0.720739758363196,0,0,1.332995951417,0.842903409068816,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Vascular smooth muscle contraction","1/133",0.536757739664137,0.72093931699987,0,0,1.31266613503456,0.816751925584621,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Apelin signaling pathway","1/137",0.54739163559488,0.721034232545012,0,0,1.27380030959752,0.767580300133072,"MEF2C","KEGG_2021_Human","Negative","p < 0.05"
"Insulin signaling pathway","1/137",0.54739163559488,0.721034232545012,0,0,1.27380030959752,0.767580300133072,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Measles","1/139",0.552617477498002,0.721034232545012,0,0,1.25521230612764,0.744452911722039,"IL2RA","KEGG_2021_Human","Negative","p < 0.05"
"Signaling pathways regulating pluripotency of stem cells","1/143",0.562890381827538,0.726092801693286,0,0,1.21960711638251,0.700872077071345,"AXIN2","KEGG_2021_Human","Negative","p < 0.05"
"Human papillomavirus infection","2/331",0.570043417177334,0.726092801693286,0,0,1.05204830943863,0.591296125567108,"ITGB5;AXIN2","KEGG_2021_Human","Negative","p < 0.05"
"Phospholipase D signaling pathway","1/148",0.575403232338602,0.726092801693286,0,0,1.17782551617138,0.650965565311575,"F2","KEGG_2021_Human","Negative","p < 0.05"
"mTOR signaling pathway","1/154",0.589950709959643,0.726092801693286,0,0,1.13129228299507,0.597001364240498,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Oxytocin signaling pathway","1/154",0.589950709959643,0.726092801693286,0,0,1.13129228299507,0.597001364240498,"MEF2C","KEGG_2021_Human","Negative","p < 0.05"
"Hepatitis C","1/157",0.597038055211502,0.726092801693286,0,0,1.10936797121008,0.572183625853751,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Hepatitis B","1/162",0.608581423924534,0.726092801693286,0,0,1.07464312956304,0.533694176340871,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Hippo signaling pathway","1/163",0.610850452476601,0.726092801693286,0,0,1.06795538228287,0.5263985275593,"AXIN2","KEGG_2021_Human","Negative","p < 0.05"
"Wnt signaling pathway","1/166",0.617579596476634,0.726092801693286,0,0,1.04837852206273,0.505263216548397,"AXIN2","KEGG_2021_Human","Negative","p < 0.05"
"Amyotrophic lateral sclerosis","2/364",0.621977720538037,0.726092801693286,0,0,0.954529897814502,0.453259482191488,"TANK;DNAI1","KEGG_2021_Human","Negative","p < 0.05"
"Tight junction","1/169",0.624193374520804,0.726092801693286,0,0,1.02950083542189,0.485198661659957,"CD1D","KEGG_2021_Human","Negative","p < 0.05"
"Protein processing in endoplasmic reticulum","1/171",0.628539437379035,0.726092801693286,0,0,1.01728586171311,0.472383306827561,"CALR","KEGG_2021_Human","Negative","p < 0.05"
"Alzheimer disease","2/369",0.629415828295985,0.726092801693286,0,0,0.941284270936317,0.435779927765282,"BRAF;AXIN2","KEGG_2021_Human","Negative","p < 0.05"
"Influenza A","1/172",0.630693747456212,0.726092801693286,0,0,1.0112855237509,0.466136770543965,"TNFRSF10A","KEGG_2021_Human","Negative","p < 0.05"
"Axon guidance","1/182",0.651567129799982,0.743872473188313,0,0,0.954928758359988,0.409067462565027,"ABL1","KEGG_2021_Human","Negative","p < 0.05"
"Alcoholism","1/186",0.659585129587591,0.746802997962809,0,0,0.934091986723566,0.388716993499266,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Kaposi sarcoma-associated herpesvirus infection","1/193",0.673178922128362,0.755946822390046,0,0,0.899716739766082,0.356057615838845,"CLEC2B","KEGG_2021_Human","Negative","p < 0.05"
"Epstein-Barr virus infection","1/202",0.689868646378475,0.758070416825819,0,0,0.859038142620232,0.318921404225009,"CALR","KEGG_2021_Human","Negative","p < 0.05"
"Viral carcinogenesis","1/203",0.691670088344725,0.758070416825819,0,0,0.854742053152684,0.315097399612271,"LTBR","KEGG_2021_Human","Negative","p < 0.05"
"Diabetic cardiomyopathy","1/203",0.691670088344725,0.758070416825819,0,0,0.854742053152684,0.315097399612271,"PARP1","KEGG_2021_Human","Negative","p < 0.05"
"Rap1 signaling pathway","1/210",0.703993015440611,0.765452723137807,0,0,0.825820532191723,0.289852142405489,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"cAMP signaling pathway","1/216",0.714166064361703,0.77039961273664,0,0,0.802529579763362,0.270163365562763,"BRAF","KEGG_2021_Human","Negative","p < 0.05"
"Human cytomegalovirus infection","1/225",0.728779271902533,0.779457189627978,0,0,0.769932644110276,0.243594658281832,"CALR","KEGG_2021_Human","Negative","p < 0.05"
"Coronavirus disease","1/232",0.739630909865965,0.779457189627978,0,0,0.74633553580922,0.225097773734422,"F2","KEGG_2021_Human","Negative","p < 0.05"
"Ras signaling pathway","1/232",0.739630909865965,0.779457189627978,0,0,0.74633553580922,0.225097773734422,"ABL1","KEGG_2021_Human","Negative","p < 0.05"
"Calcium signaling pathway","1/240",0.751506566651897,0.785926714742823,0,0,0.721059972105997,0.205989046755675,"MST1R","KEGG_2021_Human","Negative","p < 0.05"
"Salmonella infection","1/249",0.764225810305392,0.793173757665444,0,0,0.694574136955291,0.186765408176763,"TNFRSF10A","KEGG_2021_Human","Negative","p < 0.05"
"Prion disease","1/273",0.795074716796914,0.818986738354716,0,0,0.632514189886481,0.145047638748109,"CAV3","KEGG_2021_Human","Negative","p < 0.05"
"Huntington disease","1/306",0.831058728342507,0.847340514189281,0,0,0.563129134311188,0.104209757619879,"DNAI1","KEGG_2021_Human","Negative","p < 0.05"
"MicroRNAs in cancer","1/310",0.834970579675569,0.847340514189281,0,0,0.555725884290013,0.100230047325048,"ABL1","KEGG_2021_Human","Negative","p < 0.05"
"Neuroactive ligand-receptor interaction","1/341",0.862393278581061,0.868734405629451,0,0,0.504256965944272,0.0746521540798416,"F2","KEGG_2021_Human","Negative","p < 0.05"
"Herpes simplex virus 1 infection","1/498",0.94542200077833,0.94542200077833,0,0,0.342193511948886,0.0192052308512754,"CALR","KEGG_2021_Human","Negative","p < 0.05"
"Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769","3/26",0.000437201896863387,0.184061998579486,0,0,23.1312111801242,178.922589277493,"DAPK2;TNFRSF10A;TANK","Reactome_2022","Negative","p < 0.05"
"CASP8 Activity Is Inhibited R-HSA-5218900","2/11",0.00174257865775922,0.244541871638878,0,0,39.0875122910521,248.299093887448,"TNFRSF10A;TANK","Reactome_2022","Negative","p < 0.05"
"Dimerization Of Procaspase-8 R-HSA-69416","2/11",0.00174257865775922,0.244541871638878,0,0,39.0875122910521,248.299093887448,"TNFRSF10A;TANK","Reactome_2022","Negative","p < 0.05"
"Apoptosis R-HSA-109581","5/178",0.00368347150837921,0.253378492722458,0,0,5.17919075144509,29.0236651191646,"SATB1;DAPK2;TNFRSF10A;TANK;LMNB1","Reactome_2022","Negative","p < 0.05"
"Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534","2/16",0.003731270966193,0.253378492722458,0,0,25.1213653603034,140.453713545527,"TNFRSF10A;TANK","Reactome_2022","Negative","p < 0.05"
"Purine Catabolism R-HSA-74259","2/17",0.0042129440595183,0.253378492722458,0,0,23.4454277286136,128.236960847317,"NT5C2;DNPH1","Reactome_2022","Negative","p < 0.05"
"TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594","2/17",0.0042129440595183,0.253378492722458,0,0,23.4454277286136,128.236960847317,"LTBR;TANK","Reactome_2022","Negative","p < 0.05"
"Programmed Cell Death R-HSA-5357801","5/208",0.00706879620073573,0.323228859310621,0,0,4.40707568293775,21.8241256041245,"SATB1;DAPK2;TNFRSF10A;TANK;LMNB1","Reactome_2022","Negative","p < 0.05"
"Immune System R-HSA-168256","20/1943",0.00726473445464762,0.323228859310621,0,0,1.96644497358842,9.68419783964785,"GBP5;SERPINA3;MEF2C;ITGB5;UNC93B1;CD1D;GLYAT;TANK;LMNB1;VAMP8;IL3;SPSB1;IL2RA;CFHR3;ABL1;TPP2;OSTF1;KIF3C;CALR;LTBR","Reactome_2022","Negative","p < 0.05"
"Interleukin Receptor SHC Signaling R-HSA-912526","2/27",0.0104738278052376,0.323228859310621,0,0,14.0601769911504,64.0985995526508,"IL3;IL2RA","Reactome_2022","Negative","p < 0.05"
"Regulation Of Necroptotic Cell Death R-HSA-5675482","2/29",0.0120249504144779,0.323228859310621,0,0,13.0173713536545,57.5468254116101,"TNFRSF10A;TANK","Reactome_2022","Negative","p < 0.05"
"FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017","2/29",0.0120249504144779,0.323228859310621,0,0,13.0173713536545,57.5468254116101,"AGRP;GLYAT","Reactome_2022","Negative","p < 0.05"
"Myogenesis R-HSA-525793","2/29",0.0120249504144779,0.323228859310621,0,0,13.0173713536545,57.5468254116101,"MEF2C;ABL1","Reactome_2022","Negative","p < 0.05"
"Signal Transduction R-HSA-162582","23/2465",0.0125027827114886,0.323228859310621,0,0,1.78572891072891,7.82471415989511,"MEF2C;KDM4C;TFRC;ITGB5;PARP1;RGS16;IHH;BRAF;TNFRSF10A;MST1R;AXIN2;CDC42BPB;TANK;LMNB1;BTC;IL3;SCFD1;PGRMC2;GRK5;IL2RA;ABL1;GRAP;CCL27","Reactome_2022","Negative","p < 0.05"
"RIPK1-mediated Regulated Necrosis R-HSA-5213460","2/31",0.0136701118858858,0.323228859310621,0,0,12.1184009765029,52.0187626574392,"TNFRSF10A;TANK","Reactome_2022","Negative","p < 0.05"
"RUNX2 Regulates Bone Development R-HSA-8941326","2/31",0.0136701118858858,0.323228859310621,0,0,12.1184009765029,52.0187626574392,"IHH;ABL1","Reactome_2022","Negative","p < 0.05"
"Nucleotide Catabolism R-HSA-8956319","2/35",0.0172333042086663,0.323228859310621,0,0,10.6473585411639,43.2379804905668,"NT5C2;DNPH1","Reactome_2022","Negative","p < 0.05"
"HDR Thru Single Strand Annealing (SSA) R-HSA-5685938","2/37",0.0191468110246706,0.323228859310621,0,0,10.0379266750948,39.7062145140251,"RMI1;ABL1","Reactome_2022","Negative","p < 0.05"
"Apoptotic Cleavage Of Cellular Proteins R-HSA-111465","2/38",0.0201355717509534,0.323228859310621,0,0,9.75860373647984,38.1099559604017,"SATB1;LMNB1","Reactome_2022","Negative","p < 0.05"
"Antigen processing-Cross Presentation R-HSA-1236975","3/104",0.0221644903329859,0.323228859310621,0,0,5.24681753889675,19.9865121438028,"VAMP8;ITGB5;CALR","Reactome_2022","Negative","p < 0.05"
"Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825","3/104",0.0221644903329859,0.323228859310621,0,0,5.24681753889675,19.9865121438028,"BTC;VAMP8;TFRC","Reactome_2022","Negative","p < 0.05"
"Smooth Muscle Contraction R-HSA-445355","2/43",0.0253886464724195,0.323228859310621,0,0,8.56637168141593,31.4681654154759,"ITGB5;CAV3","Reactome_2022","Negative","p < 0.05"
"Interleukin-2 Family Signaling R-HSA-451927","2/44",0.0264992622998451,0.323228859310621,0,0,8.36198904340497,30.3593583885697,"IL3;IL2RA","Reactome_2022","Negative","p < 0.05"
"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988","2/44",0.0264992622998451,0.323228859310621,0,0,8.36198904340497,30.3593583885697,"IL3;IL2RA","Reactome_2022","Negative","p < 0.05"
"Abacavir Metabolism R-HSA-2161541","1/5",0.0284238994497203,0.323228859310621,0,0,43.5986842105263,155.23420325808,"NT5C2","Reactome_2022","Negative","p < 0.05"
"RUNX1 Regulates Transcription Of Genes Involved In Interleukin Signaling R-HSA-8939247","1/5",0.0284238994497203,0.323228859310621,0,0,43.5986842105263,155.23420325808,"IL3","Reactome_2022","Negative","p < 0.05"
"RUNX2 Regulates Chondrocyte Maturation R-HSA-8941284","1/5",0.0284238994497203,0.323228859310621,0,0,43.5986842105263,155.23420325808,"IHH","Reactome_2022","Negative","p < 0.05"
"Regulation Of Gene Expression In Endocrine-Committed (NEUROG3+) Progenitor Cells R-HSA-210746","1/5",0.0284238994497203,0.323228859310621,0,0,43.5986842105263,155.23420325808,"PAX4","Reactome_2022","Negative","p < 0.05"
"Defective RIPK1-mediated Regulated Necrosis R-HSA-9693928","1/5",0.0284238994497203,0.323228859310621,0,0,43.5986842105263,155.23420325808,"TANK","Reactome_2022","Negative","p < 0.05"
"Signaling By MST1 R-HSA-8852405","1/5",0.0284238994497203,0.323228859310621,0,0,43.5986842105263,155.23420325808,"MST1R","Reactome_2022","Negative","p < 0.05"
"Signaling To P38 Via RIT And RIN R-HSA-187706","1/5",0.0284238994497203,0.323228859310621,0,0,43.5986842105263,155.23420325808,"BRAF","Reactome_2022","Negative","p < 0.05"
"MECP2 Regulates Transcription Factors R-HSA-9022707","1/5",0.0284238994497203,0.323228859310621,0,0,43.5986842105263,155.23420325808,"MEF2C","Reactome_2022","Negative","p < 0.05"
"Vesicle-mediated Transport R-HSA-5653656","8/637",0.0307144430838025,0.323228859310621,0,0,2.28887270998321,7.97219463640479,"BTC;VAMP8;SCFD1;TFRC;STX18;ASPSCR1;KIF3C;CALR","Reactome_2022","Negative","p < 0.05"
"Homology Directed Repair R-HSA-5693538","3/119",0.031343454233641,0.323228859310621,0,0,4.56488608374384,15.8070585108153,"PARP1;RMI1;ABL1","Reactome_2022","Negative","p < 0.05"
"Conjugation Of Benzoate With Glycine R-HSA-177135","1/6",0.0340118410576209,0.323228859310621,0,0,34.8771929824561,117.921412958051,"GLYAT","Reactome_2022","Negative","p < 0.05"
"Scavenging By Class F Receptors R-HSA-3000484","1/6",0.0340118410576209,0.323228859310621,0,0,34.8771929824561,117.921412958051,"CALR","Reactome_2022","Negative","p < 0.05"
"Virus Assembly And Release R-HSA-168268","1/6",0.0340118410576209,0.323228859310621,0,0,34.8771929824561,117.921412958051,"CALR","Reactome_2022","Negative","p < 0.05"
"Negative Feedback Regulation Of MAPK Pathway R-HSA-5674499","1/6",0.0340118410576209,0.323228859310621,0,0,34.8771929824561,117.921412958051,"BRAF","Reactome_2022","Negative","p < 0.05"
"Platelet Degranulation R-HSA-114608","3/125",0.0354926802385581,0.323228859310621,0,0,4.33906615925059,14.4856634060855,"CYB5R1;SERPINA3;SCG3","Reactome_2022","Negative","p < 0.05"
"Apoptotic Execution Phase R-HSA-75153","2/52",0.0360611625888762,0.323228859310621,0,0,7.0212389380531,23.3283389454817,"SATB1;LMNB1","Reactome_2022","Negative","p < 0.05"
"RHOD GTPase Cycle R-HSA-9013405","2/52",0.0360611625888762,0.323228859310621,0,0,7.0212389380531,23.3283389454817,"PGRMC2;LMNB1","Reactome_2022","Negative","p < 0.05"
"RHOJ GTPase Cycle R-HSA-9013409","2/54",0.0386306203286414,0.323228859310621,0,0,6.75051055139551,21.96420398471,"TFRC;CDC42BPB","Reactome_2022","Negative","p < 0.05"
"Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005","3/130",0.0391562186685486,0.323228859310621,0,0,4.1671822272216,13.5024872966404,"CYB5R1;SERPINA3;SCG3","Reactome_2022","Negative","p < 0.05"
"ARMS-mediated Activation R-HSA-170984","1/7",0.039567923627146,0.323228859310621,0,0,29.062865497076,93.8653974431854,"BRAF","Reactome_2022","Negative","p < 0.05"
"Golgi Associated Vesicle Biogenesis R-HSA-432722","2/55",0.039940872652415,0.323228859310621,0,0,6.6228084822174,21.3277950862655,"VAMP8;TFRC","Reactome_2022","Negative","p < 0.05"
"Regulated Necrosis R-HSA-5218859","2/57",0.0426112552147298,0.323228859310621,0,0,6.38133547868061,20.1371774122507,"TNFRSF10A;TANK","Reactome_2022","Negative","p < 0.05"
"POLB-Dependent Long Patch Base Excision Repair R-HSA-110362","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"PARP1","Reactome_2022","Negative","p < 0.05"
"Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"AXIN2","Reactome_2022","Negative","p < 0.05"
"Coenzyme A Biosynthesis R-HSA-196783","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"PANK1","Reactome_2022","Negative","p < 0.05"
"Conjugation Of Salicylate With Glycine R-HSA-177128","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"GLYAT","Reactome_2022","Negative","p < 0.05"
"Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"ITGB5","Reactome_2022","Negative","p < 0.05"
"Release Of Hh-Np From Secreting Cell R-HSA-5362798","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"IHH","Reactome_2022","Negative","p < 0.05"
"Role Of ABL In ROBO-SLIT Signaling R-HSA-428890","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"ABL1","Reactome_2022","Negative","p < 0.05"
"Synthesis Of Ketone Bodies R-HSA-77111","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"BDH2","Reactome_2022","Negative","p < 0.05"
"Gain-of-function MRAS Complexes Activate RAF Signaling R-HSA-9726842","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"BRAF","Reactome_2022","Negative","p < 0.05"
"TRAIL Signaling R-HSA-75158","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"TNFRSF10A","Reactome_2022","Negative","p < 0.05"
"Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"BTC","Reactome_2022","Negative","p < 0.05"
"Ligand-receptor Interactions R-HSA-5632681","1/8",0.0450923268247163,0.323228859310621,0,0,24.9097744360902,77.1964666779714,"IHH","Reactome_2022","Negative","p < 0.05"
"RHOQ GTPase Cycle R-HSA-9013406","2/59",0.0453466072887356,0.323228859310621,0,0,6.15680794907623,19.0455923344118,"TFRC;CDC42BPB","Reactome_2022","Negative","p < 0.05"
"Clathrin-mediated Endocytosis R-HSA-8856828","3/142",0.0486989598854551,0.323228859310621,0,0,3.80511305241521,11.4994230489645,"BTC;VAMP8;TFRC","Reactome_2022","Negative","p < 0.05"
"ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183","1/9",0.0505852294436722,0.323228859310621,0,0,21.7949561403509,65.0382338872989,"CALR","Reactome_2022","Negative","p < 0.05"
"Amino Acid Conjugation R-HSA-156587","1/9",0.0505852294436722,0.323228859310621,0,0,21.7949561403509,65.0382338872989,"GLYAT","Reactome_2022","Negative","p < 0.05"
"EGFR Interacts With Phospholipase C-gamma R-HSA-212718","1/9",0.0505852294436722,0.323228859310621,0,0,21.7949561403509,65.0382338872989,"BTC","Reactome_2022","Negative","p < 0.05"
"RHOA GTPase Cycle R-HSA-8980692","3/147",0.0529812554906892,0.323228859310621,0,0,3.67206101190476,10.7878436255738,"SCFD1;PGRMC2;TFRC","Reactome_2022","Negative","p < 0.05"
"FOXO-mediated Transcription R-HSA-9614085","2/65",0.053924516716652,0.323228859310621,0,0,5.56875965725523,16.2617251605621,"AGRP;GLYAT","Reactome_2022","Negative","p < 0.05"
"DNA Double-Strand Break Repair R-HSA-5693532","3/149",0.054743554347803,0.323228859310621,0,0,3.62139187866928,10.5204897792665,"PARP1;RMI1;ABL1","Reactome_2022","Negative","p < 0.05"
"Abacavir ADME R-HSA-2161522","1/10",0.0560468093341457,0.323228859310621,0,0,19.3723196881092,55.8226575922836,"NT5C2","Reactome_2022","Negative","p < 0.05"
"PI3K Events In ERBB4 Signaling R-HSA-1250342","1/10",0.0560468093341457,0.323228859310621,0,0,19.3723196881092,55.8226575922836,"BTC","Reactome_2022","Negative","p < 0.05"
"Bicarbonate Transporters R-HSA-425381","1/10",0.0560468093341457,0.323228859310621,0,0,19.3723196881092,55.8226575922836,"SLC4A8","Reactome_2022","Negative","p < 0.05"
"Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889","1/10",0.0560468093341457,0.323228859310621,0,0,19.3723196881092,55.8226575922836,"DAPK2","Reactome_2022","Negative","p < 0.05"
"RUNX1 And FOXP3 Control Development Of Regulatory T Lymphocytes (Tregs) R-HSA-8877330","1/10",0.0560468093341457,0.323228859310621,0,0,19.3723196881092,55.8226575922836,"IL2RA","Reactome_2022","Negative","p < 0.05"
"Reactions Specific To Complex N-glycan Synthesis Pathway R-HSA-975578","1/10",0.0560468093341457,0.323228859310621,0,0,19.3723196881092,55.8226575922836,"FUT3","Reactome_2022","Negative","p < 0.05"
"Ketone Body Metabolism R-HSA-74182","1/10",0.0560468093341457,0.323228859310621,0,0,19.3723196881092,55.8226575922836,"BDH2","Reactome_2022","Negative","p < 0.05"
"Membrane Trafficking R-HSA-199991","7/599",0.0576656192735216,0.323567060694214,0,0,2.11228415915916,6.02654554849428,"BTC;VAMP8;SCFD1;TFRC;STX18;ASPSCR1;KIF3C","Reactome_2022","Negative","p < 0.05"
"ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033","1/11",0.0614772434102234,0.323567060694214,0,0,17.4342105263158,48.6255508290447,"CALR","Reactome_2022","Negative","p < 0.05"
"Erythrocytes Take Up Carbon Dioxide And Release Oxygen R-HSA-1237044","1/11",0.0614772434102234,0.323567060694214,0,0,17.4342105263158,48.6255508290447,"CYB5R1","Reactome_2022","Negative","p < 0.05"
"Ethanol Oxidation R-HSA-71384","1/11",0.0614772434102234,0.323567060694214,0,0,17.4342105263158,48.6255508290447,"ADH5","Reactome_2022","Negative","p < 0.05"
"Diseases Of Programmed Cell Death R-HSA-9645723","2/71",0.0630238173412153,0.323567060694214,0,0,5.08298063357702,14.0505914548995,"TANK;LMNB1","Reactome_2022","Negative","p < 0.05"
"trans-Golgi Network Vesicle Budding R-HSA-199992","2/71",0.0630238173412153,0.323567060694214,0,0,5.08298063357702,14.0505914548995,"VAMP8;TFRC","Reactome_2022","Negative","p < 0.05"
"Toll-like Receptor Cascades R-HSA-168898","3/162",0.0668688214228064,0.323567060694214,0,0,3.32311320754717,8.98909589003466,"MEF2C;UNC93B1;TANK","Reactome_2022","Negative","p < 0.05"
"Frs2-mediated Activation R-HSA-170968","1/12",0.0668767076249331,0.323567060694214,0,0,15.8484848484848,42.8686386110781,"BRAF","Reactome_2022","Negative","p < 0.05"
"TICAM1-dependent Activation Of IRF3/IRF7 R-HSA-9013973","1/12",0.0668767076249331,0.323567060694214,0,0,15.8484848484848,42.8686386110781,"TANK","Reactome_2022","Negative","p < 0.05"
"GRB2 Events In EGFR Signaling R-HSA-179812","1/12",0.0668767076249331,0.323567060694214,0,0,15.8484848484848,42.8686386110781,"BTC","Reactome_2022","Negative","p < 0.05"
"TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211","1/12",0.0668767076249331,0.323567060694214,0,0,15.8484848484848,42.8686386110781,"TNFRSF10A","Reactome_2022","Negative","p < 0.05"
"HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939","1/12",0.0668767076249331,0.323567060694214,0,0,15.8484848484848,42.8686386110781,"PARP1","Reactome_2022","Negative","p < 0.05"
"Interleukin-2 Signaling R-HSA-9020558","1/12",0.0668767076249331,0.323567060694214,0,0,15.8484848484848,42.8686386110781,"IL2RA","Reactome_2022","Negative","p < 0.05"
"Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169","5/378",0.0672581628108757,0.323567060694214,0,0,2.37777236168657,6.41812331395804,"VAMP8;SPSB1;ITGB5;TPP2;CALR","Reactome_2022","Negative","p < 0.05"
"RHOG GTPase Cycle R-HSA-9013408","2/74",0.067754922599637,0.323567060694214,0,0,4.8704523107178,13.1105668128577,"PGRMC2;TFRC","Reactome_2022","Negative","p < 0.05"
"RAF/MAP Kinase Cascade R-HSA-5673001","4/271",0.0713024420908032,0.323567060694214,0,0,2.64777136687249,6.99230002883456,"BTC;IL3;IL2RA;BRAF","Reactome_2022","Negative","p < 0.05"
